ID,Data,Produto,Categoria,Quantidade,Preço
1231,2023-10-27,Detergente Líquido 500ml,Limpeza,2,4.44
1232,2023-03-27,Biscoito Recheado,Mercearia,5,4.18
1233,2023-10-12,Água Sanitária 1L,Limpeza,2,5.49
1234,2023-01-17,Banana Prata Kg,Hortifrúti,5,5.72
1235,2023-02-14,Sabão em Pó 1kg,Limpeza,8,22.17
1236,2023-08-10,Água Mineral 1.5L,Bebidas,4,2.43
1237,2023-11-25,Água Mineral 1.5L,Bebidas,2,3.81
1238,2023-01-24,Água Mineral 1.5L,Bebidas,3,3.49
1239,2023-05-12,Sabão em Pó 1kg,Limpeza,1,17.04
1240,2023-03-31,Água Sanitária 1L,Limpeza,5,4.2
1241,2023-10-31,Iogurte Natural Copo,Laticínios e Frios,6,5.43
1242,2023-07-22,Iogurte Natural Copo,Laticínios e Frios,8,3.21
1243,2023-09-09,Feijão Carioca 1kg,Mercearia,7,10.69
1244,2023-06-02,Queijo Mussarela Fatiado 200g,Laticínios e Frios,5,16.62
1245,2023-10-31,Refrigerante 2L,Bebidas,8,7.31
1246,2023-11-11,Água Mineral 1.5L,Bebidas,10,3.61
1247,2023-06-10,Detergente Líquido 500ml,Limpeza,5,2.16
1248,2023-01-06,Feijão Carioca 1kg,Mercearia,10,9.94
1249,2023-04-01,Água Sanitária 1L,Limpeza,2,5.91
1250,2023-10-31,Feijão Carioca 1kg,Mercearia,4,9.92
1251,2023-06-03,Detergente Líquido 500ml,Limpeza,1,2.32
1252,2023-08-27,Feijão Carioca 1kg,Mercearia,1,9.04
1253,2023-02-11,Refrigerante 2L,Bebidas,4,8.9
1254,2023-02-06,Iogurte Natural Copo,Laticínios e Frios,9,3.78
1255,2023-04-05,Feijão Carioca 1kg,Mercearia,7,11.79
1256,2023-05-10,Detergente Líquido 500ml,Limpeza,5,2.13
1257,2023-07-30,Queijo Mussarela Fatiado 200g,Laticínios e Frios,8,14.55
1258,2023-06-29,Banana Prata Kg,Hortifrúti,5,7.41
1259,2023-05-29,Arroz Branco 5kg,Mercearia,10,25.96
1260,2023-07-09,Cebola Kg,Hortifrúti,2,5.64
1261,2023-10-02,Feijão Carioca 1kg,Mercearia,2,11.01
1262,2023-01-16,Refrigerante 2L,Bebidas,3,7.01
1263,2023-08-13,Água Mineral 1.5L,Bebidas,6,3.63
1264,2023-07-13,Biscoito Recheado,Mercearia,3,3.2
1265,2023-05-14,Feijão Carioca 1kg,Mercearia,10,10.68
1266,2023-10-26,Detergente Líquido 500ml,Limpeza,3,2.75
1267,2023-09-08,Feijão Carioca 1kg,Mercearia,10,11.86
1268,2023-03-07,Cebola Kg,Hortifrúti,6,5.0
1269,2023-03-21,Refrigerante 2L,Bebidas,5,8.87
1270,2023-08-03,Banana Prata Kg,Hortifrúti,5,5.33
1271,2023-11-05,Iogurte Natural Copo,Laticínios e Frios,3,4.56
1272,2023-07-28,Suco de Laranja 1L,Bebidas,6,10.82
1273,2023-10-27,Refrigerante 2L,Bebidas,1,8.63
1274,2023-06-01,Feijão Carioca 1kg,Mercearia,1,8.57
1275,2023-09-12,Arroz Branco 5kg,Mercearia,5,31.17
1276,2023-07-03,Cebola Kg,Hortifrúti,1,7.86
1277,2023-11-11,Leite Integral 1L,Laticínios e Frios,8,5.5
1278,2023-06-09,Arroz Branco 5kg,Mercearia,9,26.41
1279,2023-01-21,Cebola Kg,Hortifrúti,1,6.56
1280,2023-10-06,Biscoito Recheado,Mercearia,7,3.96
1281,2023-03-15,Detergente Líquido 500ml,Limpeza,7,3.76
1282,2023-10-26,Leite Integral 1L,Laticínios e Frios,9,6.87
1283,2023-04-21,Água Mineral 1.5L,Bebidas,6,2.51
1284,2023-11-03,Sabão em Pó 1kg,Limpeza,10,17.77
1285,2023-02-23,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,15.79
1286,2023-05-30,Biscoito Recheado,Mercearia,3,3.02
1287,2023-09-07,Cebola Kg,Hortifrúti,8,8.03
1288,2023-03-29,Feijão Carioca 1kg,Mercearia,7,9.49
1289,2023-04-27,Iogurte Natural Copo,Laticínios e Frios,3,5.59
1290,2023-10-25,Tomate Kg,Hortifrúti,2,8.31
1291,2023-02-10,Queijo Mussarela Fatiado 200g,Laticínios e Frios,8,16.54
1292,2023-01-04,Banana Prata Kg,Hortifrúti,8,6.59
1293,2023-10-20,Cebola Kg,Hortifrúti,6,5.34
1294,2023-03-27,Refrigerante 2L,Bebidas,7,9.62
1295,2023-04-15,Suco de Laranja 1L,Bebidas,3,9.73
1296,2023-11-15,Refrigerante 2L,Bebidas,2,7.04
1297,2023-08-13,Tomate Kg,Hortifrúti,2,7.4
1298,2023-03-01,Feijão Carioca 1kg,Mercearia,3,10.54
1299,2023-05-25,Detergente Líquido 500ml,Limpeza,3,2.41
1300,2023-06-25,Feijão Carioca 1kg,Mercearia,10,11.37
1301,2023-07-08,Iogurte Natural Copo,Laticínios e Frios,3,3.8
1302,2023-08-09,Arroz Branco 5kg,Mercearia,1,26.99
1303,2023-01-11,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,15.13
1304,2023-10-05,Queijo Mussarela Fatiado 200g,Laticínios e Frios,6,14.26
1305,2023-04-06,Arroz Branco 5kg,Mercearia,7,29.76
1306,2023-05-14,Sabão em Pó 1kg,Limpeza,3,20.7
1307,2023-12-19,Detergente Líquido 500ml,Limpeza,10,3.36
1308,2023-03-06,Tomate Kg,Hortifrúti,2,8.03
1309,2023-10-10,Água Sanitária 1L,Limpeza,10,4.67
1310,2023-07-14,Refrigerante 2L,Bebidas,1,9.95
1311,2023-12-20,Arroz Branco 5kg,Mercearia,7,26.61
1312,2023-09-29,Detergente Líquido 500ml,Limpeza,9,2.03
1313,2023-09-25,Sabão em Pó 1kg,Limpeza,6,21.13
1314,2023-06-13,Sabão em Pó 1kg,Limpeza,7,16.19
1315,2023-10-27,Cebola Kg,Hortifrúti,5,6.07
1316,2023-09-17,Tomate Kg,Hortifrúti,4,8.61
1317,2023-09-04,Feijão Carioca 1kg,Mercearia,2,10.3
1318,2023-06-02,Água Mineral 1.5L,Bebidas,1,3.14
1319,2023-09-03,Cebola Kg,Hortifrúti,3,6.87
1320,2023-03-16,Refrigerante 2L,Bebidas,3,9.79
1321,2023-12-29,Leite Integral 1L,Laticínios e Frios,9,5.89
1322,2023-01-28,Refrigerante 2L,Bebidas,2,8.25
1323,2023-01-12,Detergente Líquido 500ml,Limpeza,6,2.41
1324,2023-11-06,Tomate Kg,Hortifrúti,10,10.18
1325,2023-10-12,Leite Integral 1L,Laticínios e Frios,2,7.98
1326,2023-06-28,Queijo Mussarela Fatiado 200g,Laticínios e Frios,10,14.96
1327,2023-07-23,Refrigerante 2L,Bebidas,1,10.66
1328,2023-05-20,Cebola Kg,Hortifrúti,10,9.2
1329,2023-04-17,Cebola Kg,Hortifrúti,2,6.56
1330,2023-10-31,Biscoito Recheado,Mercearia,4,3.53
1331,2023-10-24,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,16.72
1332,2023-10-15,Queijo Mussarela Fatiado 200g,Laticínios e Frios,2,12.24
1333,2023-02-21,Suco de Laranja 1L,Bebidas,2,9.58
1334,2023-11-09,Suco de Laranja 1L,Bebidas,1,12.1
1335,2023-04-29,Sabão em Pó 1kg,Limpeza,10,18.22
1336,2023-07-12,Tomate Kg,Hortifrúti,6,7.24
1337,2023-05-19,Refrigerante 2L,Bebidas,7,10.41
1338,2023-07-08,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,14.54
1339,2023-08-14,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,16.81
1340,2023-03-11,Leite Integral 1L,Laticínios e Frios,7,7.41
1341,2023-03-22,Refrigerante 2L,Bebidas,10,9.74
1342,2023-10-27,Cebola Kg,Hortifrúti,10,5.26
1343,2023-01-29,Feijão Carioca 1kg,Mercearia,10,9.91
1344,2023-08-09,Queijo Mussarela Fatiado 200g,Laticínios e Frios,8,16.85
1345,2023-12-21,Detergente Líquido 500ml,Limpeza,7,2.91
1346,2023-01-13,Arroz Branco 5kg,Mercearia,8,31.62
1347,2023-07-23,Feijão Carioca 1kg,Mercearia,5,10.92
1348,2023-12-29,Refrigerante 2L,Bebidas,6,9.21
1349,2023-03-03,Iogurte Natural Copo,Laticínios e Frios,3,3.5
1350,2023-01-06,Feijão Carioca 1kg,Mercearia,7,11.15
1351,2023-06-02,Banana Prata Kg,Hortifrúti,1,6.2
1352,2023-08-19,Suco de Laranja 1L,Bebidas,7,10.73
1353,2023-08-11,Água Sanitária 1L,Limpeza,6,4.9
1354,2023-03-24,Cebola Kg,Hortifrúti,4,9.4
1355,2023-12-12,Detergente Líquido 500ml,Limpeza,6,2.08
1356,2023-04-04,Arroz Branco 5kg,Mercearia,9,28.23
1357,2023-07-05,Água Mineral 1.5L,Bebidas,4,3.76
1358,2023-12-23,Detergente Líquido 500ml,Limpeza,2,2.13
1359,2023-11-09,Queijo Mussarela Fatiado 200g,Laticínios e Frios,2,16.43
1360,2023-08-27,Água Sanitária 1L,Limpeza,2,4.67
1361,2023-06-10,Cebola Kg,Hortifrúti,3,6.18
1362,2023-08-15,Leite Integral 1L,Laticínios e Frios,4,7.45
1363,2023-03-30,Feijão Carioca 1kg,Mercearia,3,8.15
1364,2023-08-15,Iogurte Natural Copo,Laticínios e Frios,8,3.33
1365,2023-10-23,Suco de Laranja 1L,Bebidas,6,10.14
1366,2023-04-17,Arroz Branco 5kg,Mercearia,4,26.46
1367,2023-01-25,Biscoito Recheado,Mercearia,6,4.55
1368,2023-04-10,Biscoito Recheado,Mercearia,9,3.54
1369,2023-01-19,Arroz Branco 5kg,Mercearia,9,28.59
1370,2023-03-19,Queijo Mussarela Fatiado 200g,Laticínios e Frios,8,14.32
1371,2023-05-21,Detergente Líquido 500ml,Limpeza,10,3.45
1372,2023-04-27,Tomate Kg,Hortifrúti,8,7.46
1373,2023-03-21,Detergente Líquido 500ml,Limpeza,7,2.18
1374,2023-02-08,Biscoito Recheado,Mercearia,2,4.65
1375,2023-05-19,Queijo Mussarela Fatiado 200g,Laticínios e Frios,10,13.03
1376,2023-11-05,Água Sanitária 1L,Limpeza,3,5.49
1377,2023-04-12,Detergente Líquido 500ml,Limpeza,2,2.53
1378,2023-11-07,Arroz Branco 5kg,Mercearia,6,29.88
1379,2023-02-07,Arroz Branco 5kg,Mercearia,6,33.58
1380,2023-04-20,Sabão em Pó 1kg,Limpeza,6,21.1
1381,2023-04-30,Tomate Kg,Hortifrúti,7,7.76
1382,2023-05-30,Queijo Mussarela Fatiado 200g,Laticínios e Frios,2,13.24
1383,2023-04-29,Feijão Carioca 1kg,Mercearia,3,10.3
1384,2023-08-28,Refrigerante 2L,Bebidas,6,8.4
1385,2023-04-30,Tomate Kg,Hortifrúti,10,10.32
1386,2023-11-08,Água Sanitária 1L,Limpeza,10,6.39
1387,2023-06-05,Banana Prata Kg,Hortifrúti,2,8.52
1388,2023-04-23,Cebola Kg,Hortifrúti,8,8.69
1389,2023-08-17,Detergente Líquido 500ml,Limpeza,3,3.95
1390,2023-09-02,Arroz Branco 5kg,Mercearia,10,31.68
1391,2023-01-23,Leite Integral 1L,Laticínios e Frios,9,7.87
1392,2023-11-04,Água Sanitária 1L,Limpeza,6,4.33
1393,2023-10-07,Biscoito Recheado,Mercearia,1,4.89
1394,2023-12-12,Tomate Kg,Hortifrúti,10,10.14
1395,2023-06-08,Suco de Laranja 1L,Bebidas,6,11.23
1396,2023-06-11,Água Sanitária 1L,Limpeza,10,5.99
1397,2023-07-15,Água Mineral 1.5L,Bebidas,1,2.09
1398,2023-10-16,Água Mineral 1.5L,Bebidas,10,3.98
1399,2023-09-12,Leite Integral 1L,Laticínios e Frios,2,5.23
1400,2023-10-23,Iogurte Natural Copo,Laticínios e Frios,8,5.67
1401,2023-01-28,Sabão em Pó 1kg,Limpeza,9,24.12
1402,2023-12-04,Feijão Carioca 1kg,Mercearia,7,11.42
1403,2023-10-22,Detergente Líquido 500ml,Limpeza,9,3.31
1404,2023-11-18,Água Mineral 1.5L,Bebidas,7,2.77
1405,2023-11-14,Banana Prata Kg,Hortifrúti,9,7.32
1406,2023-03-08,Tomate Kg,Hortifrúti,6,9.99
1407,2023-07-27,Detergente Líquido 500ml,Limpeza,2,3.86
1408,2023-06-14,Biscoito Recheado,Mercearia,9,4.51
1409,2023-11-13,Água Mineral 1.5L,Bebidas,5,3.77
1410,2023-09-09,Queijo Mussarela Fatiado 200g,Laticínios e Frios,8,15.86
1411,2023-09-13,Iogurte Natural Copo,Laticínios e Frios,8,4.6
1412,2023-08-01,Cebola Kg,Hortifrúti,3,5.64
1413,2023-07-27,Queijo Mussarela Fatiado 200g,Laticínios e Frios,6,17.29
1414,2023-07-11,Detergente Líquido 500ml,Limpeza,7,4.25
1415,2023-01-29,Sabão em Pó 1kg,Limpeza,5,21.41
1416,2023-10-31,Arroz Branco 5kg,Mercearia,4,32.3
1417,2023-12-27,Biscoito Recheado,Mercearia,9,3.83
1418,2023-10-01,Queijo Mussarela Fatiado 200g,Laticínios e Frios,2,13.9
1419,2023-04-22,Água Sanitária 1L,Limpeza,9,4.77
1420,2023-07-31,Água Sanitária 1L,Limpeza,6,6.82
1421,2023-05-16,Detergente Líquido 500ml,Limpeza,2,4.21
1422,2023-03-07,Refrigerante 2L,Bebidas,10,8.64
1423,2023-04-06,Iogurte Natural Copo,Laticínios e Frios,8,3.24
1424,2023-02-21,Água Mineral 1.5L,Bebidas,6,2.72
1425,2023-12-10,Leite Integral 1L,Laticínios e Frios,9,6.78
1426,2023-01-29,Cebola Kg,Hortifrúti,6,7.35
1427,2023-04-23,Refrigerante 2L,Bebidas,5,8.38
1428,2023-09-23,Tomate Kg,Hortifrúti,3,11.14
1429,2023-11-27,Suco de Laranja 1L,Bebidas,1,11.22
1430,2023-06-19,Arroz Branco 5kg,Mercearia,2,27.97
1431,2023-06-07,Água Sanitária 1L,Limpeza,9,6.09
1432,2023-12-10,Sabão em Pó 1kg,Limpeza,9,19.84
1433,2023-05-05,Suco de Laranja 1L,Bebidas,8,11.27
1434,2023-01-15,Água Mineral 1.5L,Bebidas,10,3.55
1435,2023-04-09,Água Mineral 1.5L,Bebidas,1,2.27
1436,2023-06-05,Banana Prata Kg,Hortifrúti,10,8.21
1437,2023-06-17,Água Sanitária 1L,Limpeza,3,4.35
1438,2023-08-10,Leite Integral 1L,Laticínios e Frios,7,5.17
1439,2023-03-18,Biscoito Recheado,Mercearia,8,3.82
1440,2023-08-22,Tomate Kg,Hortifrúti,1,8.47
1441,2023-10-22,Feijão Carioca 1kg,Mercearia,3,10.69
1442,2023-04-11,Cebola Kg,Hortifrúti,4,6.49
1443,2023-05-18,Biscoito Recheado,Mercearia,6,3.37
1444,2023-12-09,Biscoito Recheado,Mercearia,6,3.51
1445,2023-01-07,Queijo Mussarela Fatiado 200g,Laticínios e Frios,5,13.53
1446,2023-09-30,Detergente Líquido 500ml,Limpeza,1,2.69
1447,2023-04-28,Iogurte Natural Copo,Laticínios e Frios,8,4.83
1448,2023-01-21,Iogurte Natural Copo,Laticínios e Frios,4,5.68
1449,2023-08-18,Leite Integral 1L,Laticínios e Frios,3,6.89
1450,2023-08-26,Detergente Líquido 500ml,Limpeza,5,4.31
1451,2023-05-12,Queijo Mussarela Fatiado 200g,Laticínios e Frios,10,16.19
1452,2023-05-30,Cebola Kg,Hortifrúti,3,8.75
1453,2023-11-02,Queijo Mussarela Fatiado 200g,Laticínios e Frios,5,12.65
1454,2023-01-15,Banana Prata Kg,Hortifrúti,7,6.63
1455,2023-04-16,Queijo Mussarela Fatiado 200g,Laticínios e Frios,4,14.05
1456,2023-02-16,Sabão em Pó 1kg,Limpeza,6,16.49
1457,2023-07-07,Suco de Laranja 1L,Bebidas,2,11.12
1458,2023-12-05,Iogurte Natural Copo,Laticínios e Frios,8,5.61
1459,2023-07-24,Sabão em Pó 1kg,Limpeza,10,18.46
1460,2023-06-29,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,17.01
1461,2023-09-08,Biscoito Recheado,Mercearia,3,3.03
1462,2023-11-05,Água Sanitária 1L,Limpeza,5,6.47
1463,2023-04-11,Detergente Líquido 500ml,Limpeza,6,2.76
1464,2023-08-28,Água Mineral 1.5L,Bebidas,6,3.81
1465,2023-06-30,Detergente Líquido 500ml,Limpeza,3,2.52
1466,2023-02-07,Detergente Líquido 500ml,Limpeza,1,3.01
1467,2023-04-11,Cebola Kg,Hortifrúti,7,7.33
1468,2023-01-15,Biscoito Recheado,Mercearia,9,3.35
1469,2023-03-05,Suco de Laranja 1L,Bebidas,7,12.92
1470,2023-07-12,Água Mineral 1.5L,Bebidas,7,3.9
1471,2023-03-23,Iogurte Natural Copo,Laticínios e Frios,5,4.85
1472,2023-03-13,Banana Prata Kg,Hortifrúti,5,8.15
1473,2023-09-12,Detergente Líquido 500ml,Limpeza,6,3.38
1474,2023-03-20,Iogurte Natural Copo,Laticínios e Frios,3,4.55
1475,2023-06-26,Cebola Kg,Hortifrúti,9,5.5
1476,2023-10-28,Tomate Kg,Hortifrúti,8,8.5
1477,2023-03-14,Tomate Kg,Hortifrúti,10,8.63
1478,2023-03-10,Detergente Líquido 500ml,Limpeza,2,4.42
1479,2023-04-28,Biscoito Recheado,Mercearia,8,3.65
1480,2023-02-02,Cebola Kg,Hortifrúti,5,9.4
1481,2023-12-09,Cebola Kg,Hortifrúti,4,9.77
1482,2023-04-13,Refrigerante 2L,Bebidas,1,9.42
1483,2023-07-19,Iogurte Natural Copo,Laticínios e Frios,6,3.69
1484,2023-08-15,Leite Integral 1L,Laticínios e Frios,9,6.5
1485,2023-03-11,Sabão em Pó 1kg,Limpeza,5,22.64
1486,2023-02-13,Cebola Kg,Hortifrúti,5,9.76
1487,2023-10-10,Arroz Branco 5kg,Mercearia,5,26.26
1488,2023-01-14,Detergente Líquido 500ml,Limpeza,10,3.01
1489,2023-07-19,Água Mineral 1.5L,Bebidas,4,3.92
1490,2023-05-31,Leite Integral 1L,Laticínios e Frios,10,8.0
1491,2023-01-05,Sabão em Pó 1kg,Limpeza,7,20.37
1492,2023-05-14,Arroz Branco 5kg,Mercearia,8,30.16
1493,2023-12-19,Tomate Kg,Hortifrúti,4,9.98
1494,2023-09-02,Tomate Kg,Hortifrúti,10,6.11
1495,2023-07-18,Água Mineral 1.5L,Bebidas,10,3.74
1496,2023-07-27,Suco de Laranja 1L,Bebidas,3,8.07
1497,2023-08-02,Tomate Kg,Hortifrúti,2,6.3
1498,2023-01-04,Água Mineral 1.5L,Bebidas,6,3.95
1499,2023-11-05,Biscoito Recheado,Mercearia,3,4.45
1500,2023-12-12,Detergente Líquido 500ml,Limpeza,1,2.32
1501,2023-03-23,Detergente Líquido 500ml,Limpeza,8,3.02
1502,2023-01-29,Feijão Carioca 1kg,Mercearia,6,9.37
1503,2023-08-07,Suco de Laranja 1L,Bebidas,4,8.04
1504,2023-05-17,Leite Integral 1L,Laticínios e Frios,1,6.11
1505,2023-04-16,Detergente Líquido 500ml,Limpeza,1,4.25
1506,2023-09-22,Tomate Kg,Hortifrúti,3,10.74
1507,2023-12-06,Arroz Branco 5kg,Mercearia,4,25.34
1508,2023-06-19,Arroz Branco 5kg,Mercearia,1,32.96
1509,2023-02-12,Refrigerante 2L,Bebidas,9,7.86
1510,2023-12-09,Suco de Laranja 1L,Bebidas,2,11.28
1511,2023-06-01,Leite Integral 1L,Laticínios e Frios,4,6.41
1512,2023-02-27,Tomate Kg,Hortifrúti,10,6.0
1513,2023-12-14,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,14.44
1514,2023-09-01,Cebola Kg,Hortifrúti,8,6.64
1515,2023-08-02,Queijo Mussarela Fatiado 200g,Laticínios e Frios,5,16.01
1516,2023-10-28,Sabão em Pó 1kg,Limpeza,1,15.63
1517,2023-01-06,Leite Integral 1L,Laticínios e Frios,1,7.81
1518,2023-12-12,Água Sanitária 1L,Limpeza,7,4.64
1519,2023-09-18,Cebola Kg,Hortifrúti,6,5.9
1520,2023-08-28,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,13.05
1521,2023-05-01,Tomate Kg,Hortifrúti,6,7.8
1522,2023-10-09,Sabão em Pó 1kg,Limpeza,10,16.87
1523,2023-01-28,Suco de Laranja 1L,Bebidas,3,11.86
1524,2023-05-11,Feijão Carioca 1kg,Mercearia,3,9.66
1525,2023-01-26,Água Mineral 1.5L,Bebidas,3,3.24
1526,2023-02-04,Feijão Carioca 1kg,Mercearia,3,11.48
1527,2023-02-24,Banana Prata Kg,Hortifrúti,3,5.09
1528,2023-02-17,Feijão Carioca 1kg,Mercearia,9,11.81
1529,2023-01-19,Água Mineral 1.5L,Bebidas,3,3.7
1530,2023-11-24,Água Sanitária 1L,Limpeza,7,6.79
1531,2023-09-13,Iogurte Natural Copo,Laticínios e Frios,10,3.27
1532,2023-03-29,Banana Prata Kg,Hortifrúti,8,7.89
1533,2023-11-12,Arroz Branco 5kg,Mercearia,8,33.51
1534,2023-04-21,Biscoito Recheado,Mercearia,9,4.67
1535,2023-12-16,Arroz Branco 5kg,Mercearia,3,31.75
1536,2023-08-16,Iogurte Natural Copo,Laticínios e Frios,7,3.71
1537,2023-05-17,Queijo Mussarela Fatiado 200g,Laticínios e Frios,10,13.23
1538,2023-09-01,Água Sanitária 1L,Limpeza,4,6.29
1539,2023-11-03,Tomate Kg,Hortifrúti,2,6.01
1540,2023-09-20,Leite Integral 1L,Laticínios e Frios,3,5.31
1541,2023-09-15,Detergente Líquido 500ml,Limpeza,10,2.46
1542,2023-07-05,Cebola Kg,Hortifrúti,1,7.32
1543,2023-06-26,Refrigerante 2L,Bebidas,4,8.82
1544,2023-01-26,Refrigerante 2L,Bebidas,2,7.6
1545,2023-03-28,Biscoito Recheado,Mercearia,6,3.39
1546,2023-11-25,Água Mineral 1.5L,Bebidas,3,2.41
1547,2023-10-12,Tomate Kg,Hortifrúti,9,9.34
1548,2023-05-06,Queijo Mussarela Fatiado 200g,Laticínios e Frios,4,15.56
1549,2023-12-17,Tomate Kg,Hortifrúti,8,8.85
1550,2023-05-26,Banana Prata Kg,Hortifrúti,10,7.8
1551,2023-11-20,Arroz Branco 5kg,Mercearia,5,27.3
1552,2023-05-26,Iogurte Natural Copo,Laticínios e Frios,2,4.28
1553,2023-12-26,Leite Integral 1L,Laticínios e Frios,9,5.73
1554,2023-05-06,Tomate Kg,Hortifrúti,10,11.8
1555,2023-11-12,Tomate Kg,Hortifrúti,1,8.09
1556,2023-11-17,Refrigerante 2L,Bebidas,1,9.8
1557,2023-05-25,Cebola Kg,Hortifrúti,10,7.64
1558,2023-05-31,Água Sanitária 1L,Limpeza,1,4.2
1559,2023-04-19,Leite Integral 1L,Laticínios e Frios,9,5.52
1560,2023-06-29,Sabão em Pó 1kg,Limpeza,7,16.12
1561,2023-06-30,Água Sanitária 1L,Limpeza,5,6.2
1562,2023-07-29,Biscoito Recheado,Mercearia,8,3.02
1563,2023-10-28,Iogurte Natural Copo,Laticínios e Frios,3,3.37
1564,2023-08-27,Queijo Mussarela Fatiado 200g,Laticínios e Frios,3,15.82
1565,2023-03-09,Banana Prata Kg,Hortifrúti,4,5.23
1566,2023-03-16,Leite Integral 1L,Laticínios e Frios,2,7.06
1567,2023-10-10,Arroz Branco 5kg,Mercearia,10,29.69
1568,2023-08-28,Feijão Carioca 1kg,Mercearia,8,10.63
1569,2023-11-24,Detergente Líquido 500ml,Limpeza,7,3.54
1570,2023-10-04,Refrigerante 2L,Bebidas,9,8.99
1571,2023-02-28,Água Mineral 1.5L,Bebidas,5,3.58
1572,2023-04-24,Água Sanitária 1L,Limpeza,2,6.27
1573,2023-07-26,Arroz Branco 5kg,Mercearia,8,26.56
1574,2023-08-04,Leite Integral 1L,Laticínios e Frios,5,7.98
1575,2023-11-24,Detergente Líquido 500ml,Limpeza,8,3.32
1576,2023-09-05,Iogurte Natural Copo,Laticínios e Frios,9,4.7
1577,2023-12-13,Iogurte Natural Copo,Laticínios e Frios,6,3.8
1578,2023-04-10,Refrigerante 2L,Bebidas,8,10.58
1579,2023-04-16,Água Sanitária 1L,Limpeza,9,6.35
1580,2023-08-12,Tomate Kg,Hortifrúti,4,11.6
1581,2023-08-10,Detergente Líquido 500ml,Limpeza,1,3.02
1582,2023-11-10,Iogurte Natural Copo,Laticínios e Frios,1,4.39
1583,2023-10-27,Refrigerante 2L,Bebidas,3,8.66
1584,2023-02-22,Refrigerante 2L,Bebidas,9,10.09
1585,2023-04-11,Biscoito Recheado,Mercearia,4,3.36
1586,2023-12-04,Suco de Laranja 1L,Bebidas,2,8.15
1587,2023-09-02,Feijão Carioca 1kg,Mercearia,1,11.49
1588,2023-06-07,Detergente Líquido 500ml,Limpeza,2,4.49
1589,2023-12-28,Leite Integral 1L,Laticínios e Frios,1,7.55
1590,2023-06-18,Detergente Líquido 500ml,Limpeza,9,4.27
1591,2023-03-23,Detergente Líquido 500ml,Limpeza,2,3.92
1592,2023-10-03,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,13.07
1593,2023-11-09,Iogurte Natural Copo,Laticínios e Frios,2,5.33
1594,2023-02-15,Água Mineral 1.5L,Bebidas,3,3.61
1595,2023-07-03,Queijo Mussarela Fatiado 200g,Laticínios e Frios,7,13.67
1596,2023-12-04,Banana Prata Kg,Hortifrúti,8,8.36
1597,2023-11-21,Leite Integral 1L,Laticínios e Frios,10,5.62
1598,2023-11-02,Refrigerante 2L,Bebidas,9,9.26
1599,2023-04-21,Detergente Líquido 500ml,Limpeza,1,2.78
1600,2023-10-26,Detergente Líquido 500ml,Limpeza,3,3.96
1601,2023-01-11,Tomate Kg,Hortifrúti,9,11.1
1602,2023-05-10,Tomate Kg,Hortifrúti,6,7.87
1603,2023-07-12,Arroz Branco 5kg,Mercearia,2,34.44
1604,2023-04-11,Água Sanitária 1L,Limpeza,10,6.52
1605,2023-06-24,Leite Integral 1L,Laticínios e Frios,4,5.3
1606,2023-09-11,Sabão em Pó 1kg,Limpeza,7,24.67
1607,2023-11-10,Suco de Laranja 1L,Bebidas,7,8.07
1608,2023-03-25,Tomate Kg,Hortifrúti,6,9.04
1609,2023-05-12,Sabão em Pó 1kg,Limpeza,1,21.28
1610,2023-10-22,Água Mineral 1.5L,Bebidas,2,2.21
1611,2023-01-27,Iogurte Natural Copo,Laticínios e Frios,5,5.23
1612,2023-11-25,Refrigerante 2L,Bebidas,7,8.48
1613,2023-01-28,Biscoito Recheado,Mercearia,4,3.24
1614,2023-01-02,Iogurte Natural Copo,Laticínios e Frios,3,4.32
1615,2023-05-22,Detergente Líquido 500ml,Limpeza,7,2.7
1616,2023-07-22,Iogurte Natural Copo,Laticínios e Frios,8,4.31
1617,2023-11-09,Biscoito Recheado,Mercearia,10,3.87
1618,2023-03-30,Água Sanitária 1L,Limpeza,3,5.01
1619,2023-02-27,Detergente Líquido 500ml,Limpeza,10,4.2
1620,2023-11-17,Cebola Kg,Hortifrúti,10,7.08
1621,2023-02-04,Iogurte Natural Copo,Laticínios e Frios,3,5.87
1622,2023-01-01,Arroz Branco 5kg,Mercearia,9,30.85
1623,2023-09-02,Feijão Carioca 1kg,Mercearia,10,9.16
1624,2023-05-26,Leite Integral 1L,Laticínios e Frios,7,7.57
1625,2023-07-16,Biscoito Recheado,Mercearia,4,4.47
1626,2023-06-28,Iogurte Natural Copo,Laticínios e Frios,4,3.73
1627,2023-07-10,Tomate Kg,Hortifrúti,2,8.68
1628,2023-01-31,Iogurte Natural Copo,Laticínios e Frios,9,5.41
1629,2023-05-30,Detergente Líquido 500ml,Limpeza,8,3.28
1630,2023-02-10,Água Sanitária 1L,Limpeza,5,4.9
1631,2023-10-31,Leite Integral 1L,Laticínios e Frios,5,7.66
